Rt,temp_tip,temp_ceramic,temp_flange,Relay
13:09:44,-36.091248,-19.1303,0.66100705,11
13:09:56,-36.05971,-19.233784,0.51828355,11
13:10:08,-36.04145,-19.293875,0.38060316,11
13:10:20,-35.94682,-19.368979,0.24964412,11
13:10:32,-35.94516,-19.400692,0.12708436,11
13:10:44,-35.84887,-19.49749,0.012573046,11
13:10:56,-35.745934,-19.38066,-0.10223527,11
13:11:08,-35.74095,-19.41404,-0.20296016,11
13:11:19,-35.674538,-19.447422,-0.30703926,11
13:11:31,-35.633026,-19.469114,-0.41111535,11
13:11:43,-35.53175,-19.409037,-0.47993797,11
13:11:55,-35.49522,-19.43073,-0.5621877,11
13:12:07,-35.37069,-19.534206,-0.6612202,11
13:12:19,-35.284344,-19.502495,-0.7552148,11
13:12:31,-35.226223,-19.499157,-0.8240303,11
13:12:43,-35.194675,-19.437405,-0.8894879,11
13:12:55,-35.103348,-19.457434,-0.94823056,11
13:13:07,-35.05353,-19.425726,-1.0069726,11
13:13:19,-35.007023,-19.404028,-1.0841743,11
13:13:30,-34.94227,-19.390675,-1.1529834,11
13:13:42,-34.90739,-19.430729,-1.2150778,11
13:13:54,-34.82767,-19.450758,-1.2939531,11
13:14:06,-34.761242,-19.42072,-1.3560451,10
13:14:18,-34.703106,-19.399021,-1.4214923,10
13:14:30,-34.59682,-19.377323,-1.4684794,10
13:14:42,-34.59017,-19.343943,-1.5003629,11
13:14:54,-34.54699,-19.40069,-1.5557389,10
13:15:06,-34.46228,-19.390676,-1.6144701,10
13:15:18,-34.367607,-19.340603,-1.6782343,10
13:15:30,-34.331066,-19.330591,-1.69837,10
13:15:41,-34.30947,-19.38233,-1.7302511,10
13:15:53,-34.253,-19.34895,-1.7621324,10
13:16:05,-34.214783,-19.293873,-1.8124707,10
13:16:17,-34.15831,-19.278849,-1.8477066,10
13:16:29,-34.1334,-19.308893,-1.8678415,10
13:16:41,-34.076916,-19.262163,-1.8644857,10
13:16:53,-34.055317,-19.267166,-1.8963655,10
13:17:05,-34.081898,-19.318905,-1.9601238,10
13:17:16,-34.073593,-19.338936,-2.020526,10
13:17:28,-34.000504,-19.342274,-2.0675044,10
13:17:40,-33.945675,-19.3623,-2.0876381,10
13:17:52,-33.914116,-19.3623,-2.1010604,10
13:18:04,-33.85763,-19.362305,-2.1295822,10
13:18:16,-33.88587,-19.404028,-2.1564262,10
13:18:28,-33.854305,-19.39735,-2.1832702,10
13:18:40,-33.801144,-19.318907,-2.1899812,10
13:18:51,-33.774563,-19.30055,-2.1950145,10
13:19:03,-33.807793,-19.31056,-2.233602,10
13:19:15,-33.84434,-19.335598,-2.2889657,10
13:19:27,-33.802807,-19.405697,-2.3409736,10
13:19:39,-33.784534,-19.365639,-2.3711715,10
13:19:51,-33.74799,-19.378994,-2.38627,10
13:20:03,-33.76294,-19.360632,-2.4047241,10
13:20:15,-33.756294,-19.342274,-2.4382763,10
13:20:27,-33.759617,-19.394016,-2.4416316,10
13:20:38,-33.76626,-19.38233,-2.4349208,10
13:20:50,-33.74799,-19.377323,-2.4332435,10
13:21:02,-33.70811,-19.442413,-2.448342,10
13:21:14,-33.671562,-19.422386,-2.473506,10
13:21:26,-33.596798,-19.357296,-2.461763,10
13:21:38,-33.500435,-19.348948,-2.468473,10
13:21:50,-33.415695,-19.317236,-2.4835715,10
13:22:02,-33.26948,-19.305553,-2.4751835,10
13:22:13,-33.16313,-19.235456,-2.4718285,10
13:22:25,-33.01358,-19.17203,-2.434921,10
13:22:37,-32.873993,-19.061867,-2.4449866,10
13:22:49,-32.74603,-19.013464,-2.4483418,10
13:23:01,-32.57817,-18.96005,-2.4315658,10
13:23:13,-32.4502,-18.96172,-2.4282107,10
